energy,tempo,danceability,liveness,valence,duration_ms,loudness,playlist_genre,track_name,track_artist,track_popularity,analysis_url
0.00913,71.341,0.179,0.108,0.0618,165417,-38.302,wellness,Imaginations,Elijah Edwards,49,https://api.spotify.com/v1/audio-analysis/4rBXXAmg7w41IN64wvBcvM
0.00945,76.745,0.152,0.123,0.249,266169,-30.46,electronic,love is like the wind,Ross Lara,25,https://api.spotify.com/v1/audio-analysis/6N2tJajLso5aR0dyUNOe5a
0.00948,67.237,0.188,0.109,0.0738,151340,-37.23,wellness,Equilibrium,Burgundy Skies,46,https://api.spotify.com/v1/audio-analysis/3VvomBh2ZKssj7gDFZF8gI
0.00949,140.739,0.142,0.0984,0.049,130645,-39.818,ambient,Appearance,Nessa Wright,50,https://api.spotify.com/v1/audio-analysis/2Yp4j0acgawJR9WGGmb1Zb
0.00961,64.154,0.0602,0.0922,0.0942,210625,-34.583,ambient,Simien,Petros Idris,52,https://api.spotify.com/v1/audio-analysis/3tf0epgGh6Zbh2skKajYjw
0.00991,141.278,0.153,0.118,0.0387,159000,-37.631,ambient,Favaloro,Zoniacs,43,https://api.spotify.com/v1/audio-analysis/4UxVwYIO8HiIK2mk01jLub
0.01,73.055,0.161,0.0999,0.038,159685,-38.885,ambient,Rapids,Evolutionists,44,https://api.spotify.com/v1/audio-analysis/6aBfyMJWmr1N2hjARg8Bp4
0.01,87.971,0.642,0.103,0.197,215500,-25.164,gaming,Sweden,C418,67,https://api.spotify.com/v1/audio-analysis/4NsPgRYUdHu2Q5JRNgXYU5
0.0105,135.418,0.154,0.103,0.0514,169055,-38.116,ambient,Sublimity,Aerial Lakes,54,https://api.spotify.com/v1/audio-analysis/4RZxj7BmKmlKAryPNkDXjt
0.0111,70.526,0.167,0.092,0.0561,199871,-35.209,ambient,Creation,Astred,28,https://api.spotify.com/v1/audio-analysis/1Q2nWimBEhOpUsl4u8Bumw
0.0113,111.541,0.466,0.0924,0.486,204000,-34.2,classical,"String Quintet in E Major, G. 275: III. Menuetto","Luigi Boccherini, Orpheus Chamber Orchestra",46,https://api.spotify.com/v1/audio-analysis/3MGdBHevIGU82NqTM2S1PF
0.0113,139.355,0.143,0.117,0.0398,190941,-40.334,ambient,Far Frontier,Mauri Zeen,46,https://api.spotify.com/v1/audio-analysis/5Rdk9CWB3c3XVBdEZktopc
0.0116,65.057,0.0623,0.0816,0.0331,415800,-27.893,classical,O Magnum Mysterium: O magnum mysterium,"Morten Lauridsen, Chamber Choir Of Europe, Nicol Matt",49,https://api.spotify.com/v1/audio-analysis/0S0YKiEdR9cT9pYgEaTevF
0.0117,68.367,0.198,0.101,0.0409,166000,-36.387,wellness,Tidal Energy,Månvarv,45,https://api.spotify.com/v1/audio-analysis/7KuG4E1I7cNDaHo31R8Lzm
0.0117,131.199,0.159,0.105,0.035,181750,-36.805,ambient,Circuting 417 Hz,Alembra,49,https://api.spotify.com/v1/audio-analysis/7hv5s66hzrGx3IT3a77B7t
0.012,133.166,0.324,0.135,0.744,65933,-39.19,classical,Clairvoyance,Jon Hassell,43,https://api.spotify.com/v1/audio-analysis/0SXeDhoNKnhp3h1R1wGtd2
0.0121,71.632,0.234,0.11,0.185,175792,-34.604,wellness,Restfulness,Zion Llama,60,https://api.spotify.com/v1/audio-analysis/1eWEJ1JVoyt0nozyAoUPZW
0.0123,89.764,0.1,0.108,0.0379,179331,-31.38,wellness,Aurora's Embrace,Eternalistic,47,https://api.spotify.com/v1/audio-analysis/15xJU9AwlLlAwkcONJKVA2
0.0124,65.876,0.19,0.0741,0.0908,126780,-39.77,classical,Distorted Reflection,MrNotYet,48,https://api.spotify.com/v1/audio-analysis/3dCN2xyenuKehKD6ePQ60Q
0.0131,140.781,0.144,0.109,0.0369,164000,-34.0,wellness,Beginning,Georgia Vesper,48,https://api.spotify.com/v1/audio-analysis/1ARm8lUFXYOZthnfob5OZR
0.0135,80.163,0.17,0.109,0.0895,237273,-24.59,electronic,Lost Love,Ben Laver,16,https://api.spotify.com/v1/audio-analysis/4AlzQpZ9G6uJl4ulFm2G63
